GAME STATS
BLACK vs. GREEN
6/21/26, 11:00 AM
Playoffs

,1,2,Total
BLACK,27,44,71
GREEN,40,42,82

VISITORS:  BLACK
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Adam Gawrys,4,0,0,0%,1,1,100%,1,1,100%,0,0,0%,3,3,2,1,0,0,0,1,2,0,0,8,150%,0,0,
Chris Cayole ,0,14,21,67%,1,8,13%,15,29,52%,10,10,100%,41,1,4,4,2,0,1,1,2,0,0,35,61%,0,0,
Cyle Chappy,2,0,0,0%,1,5,20%,1,5,20%,0,0,0%,3,0,0,0,3,0,0,0,0,0,0,-1,30%,0,0,
Denis Schut,1,2,5,40%,1,3,33%,3,8,38%,1,3,33%,8,0,2,6,3,0,0,1,2,0,0,8,42%,0,0,
Kenny Black ,8,0,1,0%,0,3,0%,0,4,0%,0,0,0%,0,3,3,0,2,0,0,0,0,0,0,2,0%,0,1,
Nate Merrill ,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Stefan Radan ,7,2,2,100%,3,12,25%,5,14,36%,0,0,0%,13,4,0,10,2,4,0,1,4,0,0,19,46%,0,0,
Sub Nate,00,0,1,0%,0,1,0%,0,2,0%,0,0,0%,0,0,0,1,1,0,0,0,0,0,0,-1,0%,0,0,
Tanner Freeman ,3,0,0,0%,0,2,0%,0,2,0%,3,4,75%,3,0,2,1,1,0,0,1,2,0,0,2,39%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,18,30,60%,7,35,20%,25,65,38%,14,17,82%,71,11,13,23,14,4,1,5,12,0,0,72,48%,0,1,

HOME:  GREEN
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Andy Bousono,0,5,7,71%,2,6,33%,7,13,54%,0,2,0%,16,4,5,4,2,0,0,3,2,0,0,22,57%,0,0,
Asko Mostarlic,7,4,6,67%,1,8,13%,5,14,36%,4,4,100%,15,4,1,7,1,1,0,3,1,0,0,21,47%,0,0,
Jaren Jeffcoat,2,11,19,58%,0,1,0%,11,20,55%,2,3,67%,24,2,4,7,2,0,0,1,2,0,0,26,56%,0,0,
Jeromy Anderson,6,1,5,20%,0,0,0%,1,5,20%,0,0,0%,2,0,3,1,1,0,0,0,1,0,0,1,20%,0,0,
Jerrick Jacobs,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kerry Lyons,8,0,2,0%,0,0,0%,0,2,0%,0,0,0%,0,3,1,6,2,1,0,1,1,0,0,9,0%,0,0,
Mahlik Franklin,3,10,15,67%,0,2,0%,10,17,59%,3,6,50%,23,2,0,2,2,0,0,3,1,0,0,19,58%,0,0,
Ty Grizzly Gray,4,1,2,50%,0,1,0%,1,3,33%,0,0,0%,2,0,1,0,1,0,0,0,1,0,0,0,33%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,32,56,57%,3,18,17%,35,74,47%,9,15,60%,82,15,15,27,11,2,0,11,9,0,0,98,50%,0,0,

