GAME STATS
GREEN vs. GRAY
6/21/26, 1:11 PM
Playoffs

,1,2,Total
GREEN,24,44,68
GRAY,38,24,62

VISITORS:  GREEN
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Andy Bousono,0,5,10,50%,5,8,63%,10,18,56%,7,8,88%,32,4,0,2,0,0,0,4,5,0,0,28,74%,1,0,
Asko Mostarlic,7,3,5,60%,2,6,33%,5,11,45%,2,2,100%,14,0,1,8,2,0,0,1,1,0,0,17,58%,0,0,
Jaren Jeffcoat,2,2,11,18%,0,1,0%,2,12,17%,3,4,75%,7,1,0,3,4,1,0,0,0,0,0,1,25%,0,0,
Jeromy Anderson,6,2,2,100%,0,0,0%,2,2,100%,0,0,0%,4,0,0,3,1,1,0,0,0,0,0,8,100%,0,0,
Jerrick Jacobs,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kerry Lyons,8,0,6,0%,0,0,0%,0,6,0%,2,2,100%,2,2,0,7,0,0,0,1,0,0,0,6,14%,0,0,
Mahlik Franklin,3,2,3,67%,0,1,0%,2,4,50%,5,5,100%,9,3,1,7,4,1,0,1,2,0,0,18,72%,1,0,
Ty Grizzly Gray,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,1,0,0,0,0,0,0,0,1,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,14,37,38%,7,16,44%,21,53,40%,19,21,90%,68,10,2,31,11,3,0,7,8,0,0,79,54%,2,0,

HOME:  GRAY
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brando Pratico,0,0,0,0%,1,4,25%,1,4,25%,0,0,0%,3,3,0,0,4,0,0,3,0,0,0,6,37%,0,1,
Drew Fisher,3,0,0,0%,0,3,0%,0,3,0%,0,0,0%,0,1,0,0,1,0,0,1,0,0,0,-1,0%,0,0,
Dylan Pratico ,1,1,2,50%,1,5,20%,2,7,29%,0,0,0%,5,0,0,5,2,0,0,1,3,0,0,3,35%,1,0,
Ethan Calle,2,0,0,0%,1,1,100%,1,1,100%,0,0,0%,3,0,0,1,1,0,0,0,0,0,0,4,150%,0,0,
Kevin Garrison,5,2,5,40%,7,16,44%,9,21,43%,3,5,60%,28,5,3,12,4,1,0,0,5,0,0,30,60%,0,0,
Kyle DeCoster,4,2,5,40%,1,3,33%,3,8,38%,0,0,0%,7,2,3,3,2,0,0,0,1,0,0,9,43%,0,0,
Manny Robertson,8,2,4,50%,4,12,33%,6,16,38%,0,0,0%,16,0,1,4,1,0,0,0,1,0,0,10,50%,1,0,
Myles Robertson,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Finn ,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Peter,9,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,7,16,44%,15,44,34%,22,60,37%,3,5,60%,62,11,7,25,15,1,0,5,10,0,0,61,49%,2,1,

