GAME STATS
WHITE vs. GRAY
6/21/26, 12:04 PM
Playoffs

,1,2,Total
WHITE,27,27,54
GRAY,23,35,58

VISITORS:  WHITE
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Avery Barrino,8,0,1,0%,0,0,0%,0,1,0%,0,0,0%,0,0,0,1,1,0,0,1,0,0,0,1,0%,0,0,
Donnie Dwyer,7,2,7,29%,1,4,25%,3,11,27%,3,4,75%,10,0,2,15,3,0,0,0,5,0,0,13,39%,0,0,
Hans Lynn,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
John Helsel,0,3,8,38%,0,0,0%,3,8,38%,4,4,100%,10,0,1,1,2,0,0,1,0,0,0,8,51%,0,0,
John O'Brien,3,0,0,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0,1,0,0,0,0,0,0,0,0,0%,0,0,
Matt Riordan ,1,3,6,50%,0,2,0%,3,8,38%,0,0,0%,6,2,5,3,4,0,0,0,2,0,0,9,37%,0,0,
Sub Jake,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Tavarius,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Tavian Barrino,5,1,5,20%,0,3,0%,1,8,13%,0,0,0%,2,2,1,8,2,0,0,1,0,0,0,7,12%,0,0,
Zaire Wilson,2,6,13,46%,3,9,33%,9,22,41%,5,8,63%,26,1,2,4,0,0,0,1,3,0,0,15,50%,0,1,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,15,40,38%,4,19,21%,19,59,32%,12,16,75%,54,5,11,33,12,0,0,4,10,0,0,53,40%,0,1,

HOME:  GRAY
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Brando Pratico,0,0,0,0%,1,6,17%,1,6,17%,0,0,0%,3,3,3,3,2,0,0,1,0,0,0,8,25%,0,0,
Drew Fisher,3,1,1,100%,2,5,40%,3,6,50%,0,0,0%,8,0,0,2,2,0,0,0,0,0,0,7,66%,0,0,
Dylan Pratico ,1,0,1,0%,1,5,20%,1,6,17%,0,0,0%,3,4,0,3,1,0,0,1,1,0,0,5,25%,0,1,
Ethan Calle,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,2,0,0,0,0,0,0,0,2,0%,0,0,
Kevin Garrison,5,6,10,60%,5,18,28%,11,28,39%,5,9,56%,32,3,1,13,2,2,0,4,1,0,0,33,50%,0,1,
Kyle DeCoster,4,3,3,100%,0,2,0%,3,5,60%,0,0,0%,6,0,1,0,3,0,0,0,3,0,0,2,60%,0,0,
Manny Robertson,8,0,4,0%,1,5,20%,1,9,11%,3,5,60%,6,0,1,4,1,0,0,0,1,0,0,0,26%,0,0,
Myles Robertson,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Finn ,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Peter,9,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,10,19,53%,10,41,24%,20,60,33%,8,14,57%,58,10,6,27,11,2,0,6,6,0,0,57,43%,0,2,

