GAME STATS
YELLOW vs. RED
6/20/26, 11:06 AM
Playoffs

,1,2,Total
YELLOW,46,28,74
RED,48,32,80

VISITORS:  YELLOW
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Alex Philo,1,1,4,25%,3,8,38%,4,12,33%,0,0,0%,11,0,0,3,1,0,0,0,0,0,0,6,45%,0,0,
Bela Dobkowski,3,3,4,75%,0,0,0%,3,4,75%,0,1,0%,6,0,5,4,1,0,0,0,0,0,0,13,67%,0,0,
Braden Elnicki,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Cam Perta,0,0,0,0%,9,19,47%,9,19,47%,0,0,0%,27,1,1,3,2,0,0,0,0,0,0,22,71%,0,2,
Drew Pelkey,8,8,12,67%,0,3,0%,8,15,53%,5,9,56%,21,4,1,4,0,0,0,4,3,0,0,20,55%,0,0,
Dylan Mackie,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Graden Conger,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kam Strickland,2,2,3,67%,0,0,0%,2,3,67%,0,0,0%,4,0,5,3,2,0,0,0,3,0,0,8,66%,0,0,
Logan Letourneau,4,1,4,25%,1,9,11%,2,13,15%,0,0,0%,5,7,0,12,2,0,0,0,5,0,0,8,19%,0,1,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,15,27,56%,13,39,33%,28,66,42%,5,10,50%,74,12,12,29,8,0,0,4,11,0,0,77,52%,0,3,

HOME:  RED
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Carter Beeman,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Emin Kekic ,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,1,0,0,0,2,0,0,0,3,0%,0,0,
Jibril Abdullahi,8,6,14,43%,3,9,33%,9,23,39%,3,6,50%,24,6,2,7,2,0,0,0,3,0,0,19,46%,0,0,
Josh Carter,7,8,13,62%,1,3,33%,9,16,56%,2,2,100%,21,2,0,4,2,0,0,2,1,0,0,21,62%,0,0,
Kolby Bradford,3,5,8,63%,0,2,0%,5,10,50%,0,0,0%,10,1,1,3,1,0,0,0,2,0,0,8,50%,0,0,
Logan Hogaboom,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Logan Tobin,2,7,9,78%,0,4,0%,7,13,54%,3,4,75%,17,2,1,5,2,0,0,2,0,0,0,20,57%,0,0,
Sub Aiden,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Kiley,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Peter,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Picard,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Stanley,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Sub Will O,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Will Ewald,5,1,6,17%,2,7,29%,3,13,23%,0,0,0%,8,2,9,5,3,1,0,2,1,0,0,16,30%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,27,50,54%,6,25,24%,33,75,44%,8,12,67%,80,13,13,25,10,1,0,8,7,0,0,87,49%,0,0,

